school_id,class,timestamp,stream
273,JSS3,02-01-2024,2
273,SSS1,02-01-2024,2
273,SSS2,02-01-2024,2
273,SSS3,02-01-2024,2
275,JSS1,02-01-2024,4
275,JSS2,02-01-2024,4
275,JSS3,02-01-2024,4
275,SSS1,02-01-2024,4
275,SSS2,02-01-2024,4
275,SSS3,02-01-2024,4
271,JSS1,02-01-2024,1
271,JSS2,02-01-2024,1
271,JSS3,02-01-2024,1
271,SSS1,02-01-2024,1
271,SSS2,02-01-2024,1
271,SSS3,02-01-2024,1
570,JSS1,02-01-2024,3
570,JSS2,02-01-2024,3
570,JSS3,02-01-2024,3
570,SSS1,02-01-2024,3
570,SSS2,02-01-2024,3
570,SSS3,02-01-2024,3
571,JSS1,02-01-2024,1
571,JSS2,02-01-2024,1
571,JSS3,02-01-2024,1
571,SSS1,02-01-2024,1
571,SSS2,02-01-2024,2
571,SSS3,02-01-2024,2
575,JSS1,02-01-2024,2
575,JSS2,02-01-2024,0
575,JSS3,02-01-2024,2
575,SSS1,02-01-2024,2
575,SSS2,02-01-2024,2
575,SSS3,02-01-2024,2
573,JSS1,02-01-2024,2
573,JSS2,02-01-2024,2
573,JSS3,02-01-2024,2
573,SSS1,02-01-2024,2
573,SSS2,02-01-2024,2
573,SSS3,02-01-2024,2
577,JSS1,02-01-2024,3
577,JSS2,02-01-2024,4
577,JSS3,02-01-2024,3
577,SSS1,02-01-2024,3
577,SSS2,02-01-2024,3
577,SSS3,02-01-2024,2
567,JSS1,02-01-2024,2
567,JSS2,02-01-2024,2
567,JSS3,02-01-2024,2
567,SSS1,02-01-2024,2
567,SSS2,02-01-2024,2
567,SSS3,02-01-2024,2
568,JSS1,02-01-2024,2
568,JSS2,02-01-2024,2
568,JSS3,02-01-2024,2
568,SSS1,02-01-2024,1
568,SSS2,02-01-2024,2
568,SSS3,02-01-2024,2
572,JSS1,02-01-2024,0
572,JSS2,02-01-2024,0
572,JSS3,02-01-2024,0
572,SSS1,02-01-2024,0
572,SSS2,02-01-2024,0
572,SSS3,02-01-2024,0
569,JSS1,02-01-2024,2
569,JSS2,02-01-2024,1
569,JSS3,02-01-2024,1
569,SSS1,02-01-2024,1
569,SSS2,02-01-2024,2
569,SSS3,02-01-2024,1
574,JSS1,02-01-2024,2
574,JSS2,02-01-2024,2
574,JSS3,02-01-2024,2
574,SSS1,02-01-2024,2
574,SSS2,02-01-2024,2
574,SSS3,02-01-2024,2
576,JSS1,02-01-2024,2
576,JSS2,02-01-2024,2
576,JSS3,02-01-2024,2
576,SSS1,02-01-2024,2
576,SSS2,02-01-2024,2
576,SSS3,02-01-2024,2
593,JSS1,02-01-2024,6
593,JSS2,02-01-2024,6
593,JSS3,02-01-2024,5
593,SSS1,02-01-2024,5
593,SSS2,02-01-2024,6
593,SSS3,02-01-2024,5
594,JSS1,02-01-2024,5
594,JSS2,02-01-2024,4
594,JSS3,02-01-2024,4
594,SSS1,02-01-2024,4
594,SSS2,02-01-2024,4
594,SSS3,02-01-2024,5
596,JSS1,02-01-2024,7
596,JSS2,02-01-2024,7
596,JSS3,02-01-2024,7
596,SSS1,02-01-2024,5
596,SSS2,02-01-2024,5
596,SSS3,02-01-2024,4
595,JSS1,02-01-2024,4
595,JSS2,02-01-2024,4
595,JSS3,02-01-2024,4
595,SSS1,02-01-2024,5
595,SSS2,02-01-2024,5
595,SSS3,02-01-2024,5
597,JSS1,02-01-2024,5
597,JSS2,02-01-2024,5
597,JSS3,02-01-2024,6
597,SSS1,02-01-2024,5
597,SSS2,02-01-2024,4
597,SSS3,02-01-2024,4
598,JSS1,02-01-2024,3
598,JSS2,02-01-2024,3
598,JSS3,02-01-2024,2
598,SSS1,02-01-2024,1
598,SSS2,02-01-2024,1
598,SSS3,02-01-2024,1
592,JSS1,02-01-2024,5
592,JSS2,02-01-2024,5
592,JSS3,02-01-2024,4
592,SSS1,02-01-2024,4
592,SSS2,02-01-2024,2
592,SSS3,02-01-2024,2
591,JSS1,02-01-2024,5
591,JSS2,02-01-2024,5
591,JSS3,02-01-2024,4
591,SSS1,02-01-2024,4
591,SSS2,02-01-2024,3
591,SSS3,02-01-2024,2
680,JSS1,02-01-2024,2
680,JSS2,02-01-2024,2
680,JSS3,02-01-2024,2
680,SSS1,02-01-2024,1
680,SSS2,02-01-2024,1
680,SSS3,02-01-2024,2
671,JSS1,02-01-2024,2
671,JSS2,02-01-2024,2
671,JSS3,02-01-2024,2
671,SSS1,02-01-2024,2
671,SSS2,02-01-2024,2
671,SSS3,02-01-2024,2
669,JSS1,02-01-2024,1
669,JSS2,02-01-2024,1
669,JSS3,02-01-2024,1
669,SSS1,02-01-2024,1
669,SSS2,02-01-2024,1
669,SSS3,02-01-2024,1
672,JSS1,02-01-2024,1
672,JSS2,02-01-2024,1
672,JSS3,02-01-2024,1
672,SSS1,02-01-2024,1
672,SSS2,02-01-2024,1
672,SSS3,02-01-2024,1
673,JSS1,02-01-2024,2
673,JSS2,02-01-2024,2
673,JSS3,02-01-2024,1
673,SSS1,02-01-2024,1
673,SSS2,02-01-2024,1
673,SSS3,02-01-2024,1
667,JSS1,02-01-2024,1
667,JSS2,02-01-2024,1
667,JSS3,02-01-2024,1
667,SSS1,02-01-2024,1
667,SSS2,02-01-2024,1
667,SSS3,02-01-2024,0
666,JSS1,02-01-2024,1
666,JSS2,02-01-2024,1
666,JSS3,02-01-2024,1
666,SSS1,02-01-2024,1
666,SSS2,02-01-2024,1
666,SSS3,02-01-2024,1
677,JSS1,02-01-2024,1
677,JSS2,02-01-2024,1
677,JSS3,02-01-2024,1
677,SSS1,02-01-2024,1
677,SSS2,02-01-2024,1
677,SSS3,02-01-2024,1
668,JSS1,02-01-2024,2
668,JSS2,02-01-2024,1
668,JSS3,02-01-2024,1
668,SSS1,02-01-2024,2
668,SSS2,02-01-2024,1
668,SSS3,02-01-2024,1
674,JSS1,02-01-2024,1
674,JSS2,02-01-2024,1
674,JSS3,02-01-2024,1
674,SSS1,02-01-2024,1
674,SSS2,02-01-2024,1
674,SSS3,02-01-2024,1
679,JSS1,02-01-2024,4
679,JSS2,02-01-2024,4
679,JSS3,02-01-2024,4
679,SSS1,02-01-2024,3
679,SSS2,02-01-2024,3
679,SSS3,02-01-2024,2
